Customer ID,Referred a Friend,Number of Referrals,Offer,Contract,Tenure in Months,Quarter
9108-EQPNQ,1,10,Offer D,Two Year,10,Q3
0754-UKWQP,0,0,No offer,Month-to-Month,2,Q3
8548-AWOFC,1,4,No offer,Month-to-Month,66,Q3
1471-GIQKQ,0,0,No offer,Month-to-Month,1,Q3
6383-ZTSIW,1,6,No offer,One Year,39,Q3
2550-QHZGP,0,0,Offer E,One Year,7,Q3
4816-JBHOV,0,0,Offer E,Month-to-Month,2,Q3
7153-CHRBV,1,6,Offer B,One Year,57,Q3
5204-HMGYF,1,4,No offer,One Year,49,Q3
8780-YRMTT,0,0,Offer A,Two Year,66,Q3
8610-WFCJF,1,2,No offer,Month-to-Month,49,Q3
0689-DSXGL,1,3,Offer B,Month-to-Month,52,Q3
4872-JCVCA,1,1,Offer A,Two Year,71,Q3
5895-QSXOD,0,0,No offer,Month-to-Month,9,Q3
2430-USGXP,1,1,No offer,Month-to-Month,24,Q3
2636-SJDOU,0,0,No offer,One Year,64,Q3
4573-JKNAE,0,0,Offer D,Two Year,12,Q3
1396-QWFBJ,1,1,No offer,Month-to-Month,21,Q3
6711-VTNRE,0,0,No offer,Month-to-Month,36,Q3
3996-ZNWYK,1,5,No offer,Two Year,71,Q3
7622-FWGEW,1,8,No offer,Two Year,56,Q3
5448-VWNAM,0,0,Offer D,Month-to-Month,19,Q3
6650-VJONK,0,0,No offer,Month-to-Month,1,Q3
4090-KPJIP,0,0,Offer E,Month-to-Month,3,Q3
3793-MMFUH,0,0,No offer,Month-to-Month,13,Q3
1841-YSJGV,1,9,Offer A,Two Year,72,Q3
0960-HUWBM,0,0,Offer B,Two Year,65,Q3
9367-TCUYN,0,0,Offer D,Month-to-Month,12,Q3
8189-HBVRW,0,0,No offer,Month-to-Month,53,Q3
5148-ORICT,1,2,No offer,Two Year,64,Q3
6075-QMNRR,0,0,Offer B,Month-to-Month,52,Q3
4223-BKEOR,0,0,Offer D,One Year,21,Q3
1342-JPNKI,0,0,Offer D,Month-to-Month,10,Q3
1705-GUHPV,0,0,Offer B,Two Year,63,Q3
8155-IBNHG,1,1,No offer,Month-to-Month,24,Q3
9702-AIUJO,1,10,No offer,One Year,50,Q3
4884-ZTHVF,0,0,No offer,Month-to-Month,8,Q3
6741-QRLUP,0,0,No offer,Two Year,63,Q3
5320-BRKGK,1,1,Offer B,Two Year,58,Q3
1452-VOQCH,0,0,No offer,Month-to-Month,1,Q3
0564-JJHGS,0,0,No offer,Month-to-Month,9,Q3
2361-UPSND,1,6,No offer,One Year,46,Q3
6910-HADCM,0,0,No offer,Month-to-Month,1,Q3
8325-QRPZR,0,0,No offer,Month-to-Month,7,Q3
4695-WJZUE,0,0,No offer,Month-to-Month,2,Q3
3590-TCXTB,0,0,No offer,Month-to-Month,1,Q3
4195-SMMNX,0,0,No offer,Month-to-Month,2,Q3
9720-JJJOR,1,8,No offer,One Year,41,Q3
2842-BCQGE,0,0,Offer B,Month-to-Month,43,Q3
6371-NZYEG,1,9,No offer,Two Year,16,Q3
1550-LOAHA,1,1,No offer,Month-to-Month,32,Q3
3401-URHDA,0,0,No offer,One Year,51,Q3
1209-VFFOC,1,10,Offer A,Two Year,68,Q3
6996-KNSML,0,0,No offer,Month-to-Month,1,Q3
7799-DSEWS,0,0,Offer D,Month-to-Month,18,Q3
9388-ZEYVT,0,0,Offer B,One Year,43,Q3
7206-GZCDC,0,0,Offer E,Month-to-Month,1,Q3
4560-WQAQW,0,0,Offer B,One Year,59,Q3
4547-LYTDD,0,0,Offer D,Month-to-Month,16,Q3
8033-ATFAS,1,4,Offer C,Month-to-Month,39,Q3
5240-IJOQT,0,0,No offer,Month-to-Month,1,Q3
9492-TOKRI,0,0,No offer,Month-to-Month,18,Q3
6922-NCEDI,0,0,Offer B,One Year,56,Q3
7089-IVVAZ,0,0,Offer E,Month-to-Month,8,Q3
0578-SKVMF,1,4,No offer,Month-to-Month,22,Q3
6379-RXJRQ,1,1,No offer,Month-to-Month,10,Q3
0820-FNRNX,1,1,Offer D,Month-to-Month,17,Q3
7379-POKDZ,1,1,No offer,Month-to-Month,3,Q3
6244-BESBM,1,6,No offer,Two Year,69,Q3
9845-PEEKO,0,0,No offer,Two Year,59,Q3
9945-PSVIP,1,3,Offer C,Two Year,25,Q3
8818-XYFCQ,1,1,Offer C,Month-to-Month,32,Q3
8384-FZBJK,1,1,No offer,Month-to-Month,57,Q3
3348-CFRNX,1,1,No offer,Month-to-Month,28,Q3
8788-DOXSU,0,0,No offer,One Year,59,Q3
6008-NAIXK,0,0,No offer,One Year,54,Q3
7929-DMBCV,1,6,Offer D,Month-to-Month,20,Q3
9355-NPPFS,0,0,No offer,Month-to-Month,26,Q3
2969-QWUBZ,0,0,No offer,Month-to-Month,2,Q3
6828-HMKWP,1,3,No offer,Two Year,12,Q3
0969-RGKCU,1,1,No offer,One Year,37,Q3
7073-QETQY,1,9,Offer A,One Year,66,Q3
8590-OHDIW,1,1,Offer C,One Year,38,Q3
4737-AQCPU,1,5,No offer,Two Year,72,Q3
7854-EKTJL,0,0,No offer,Month-to-Month,2,Q3
8782-LKFPK,0,0,No offer,Month-to-Month,44,Q3
5884-FBCTL,1,4,No offer,Two Year,72,Q3
8000-REIQB,0,0,Offer E,Month-to-Month,1,Q3
1866-NXPSP,0,0,No offer,One Year,36,Q3
8091-TTVAX,1,7,Offer B,One Year,58,Q3
0475-RIJEP,0,0,Offer B,Month-to-Month,43,Q3
7797-EJMDP,0,0,Offer E,Month-to-Month,8,Q3
1608-GMEWB,0,0,Offer B,Two Year,45,Q3
3948-XHGNA,0,0,No offer,Month-to-Month,24,Q3
9972-VAFJJ,1,1,No offer,One Year,53,Q3
5149-CUZUJ,1,1,No offer,One Year,28,Q3
9805-FILKB,1,6,No offer,One Year,46,Q3
8249-THVEC,1,3,No offer,One Year,51,Q3
5351-QESIO,0,0,Offer E,Month-to-Month,1,Q3
2468-SJFLM,0,0,No offer,Month-to-Month,1,Q3
2830-LEWOA,1,3,Offer B,One Year,61,Q3
2386-OWURY,0,0,No offer,Month-to-Month,58,Q3
0310-VQXAM,0,0,No offer,Month-to-Month,9,Q3
4616-ULAOA,1,1,Offer B,Two Year,65,Q3
8084-OIVBS,0,0,Offer D,One Year,11,Q3
2578-JQPHZ,0,0,Offer B,Two Year,44,Q3
5945-AZYHT,1,9,Offer A,One Year,71,Q3
1045-LTCYT,1,5,No offer,Month-to-Month,8,Q3
3571-RFHAR,0,0,Offer B,Month-to-Month,65,Q3
0963-ZBDRN,0,0,No offer,Month-to-Month,32,Q3
2262-SLNVK,0,0,No offer,Month-to-Month,1,Q3
6457-GIRWB,0,0,No offer,Month-to-Month,1,Q3
9929-PLVPA,0,0,Offer E,Month-to-Month,4,Q3
9801-GDWGV,0,0,Offer C,Month-to-Month,39,Q3
7925-PNRGI,1,9,Offer B,Month-to-Month,45,Q3
1208-DNHLN,1,1,No offer,One Year,23,Q3
1456-TWCGB,0,0,No offer,Month-to-Month,4,Q3
8884-FEEWR,0,0,Offer C,One Year,35,Q3
7233-PAHHL,0,0,Offer A,Two Year,66,Q3
2230-XTUWL,1,3,Offer B,Two Year,48,Q3
8327-WKMIE,0,0,No offer,One Year,37,Q3
5429-LWCMV,0,0,Offer D,Month-to-Month,12,Q3
1569-TTNYJ,1,1,No offer,Month-to-Month,5,Q3
4526-EXKKN,0,0,No offer,Two Year,40,Q3
2676-OXPPQ,0,0,No offer,Month-to-Month,6,Q3
1894-IGFSG,0,0,No offer,Month-to-Month,22,Q3
0880-TKATG,1,3,Offer E,Month-to-Month,4,Q3
3750-YHRYO,1,1,No offer,One Year,7,Q3
4627-MIHJH,0,0,No offer,Two Year,69,Q3
5917-RYRMG,0,0,No offer,One Year,32,Q3
9231-ZJYAM,0,0,No offer,Month-to-Month,4,Q3
9367-OIUXP,0,0,No offer,Month-to-Month,4,Q3
4939-KYYPY,0,0,No offer,Month-to-Month,27,Q3
0265-PSUAE,1,10,Offer D,Month-to-Month,16,Q3
4277-PVRAN,0,0,No offer,Month-to-Month,8,Q3
8670-ERCJH,0,0,Offer A,Two Year,72,Q3
4959-JOSRX,1,3,Offer E,Month-to-Month,2,Q3
5473-KHBPS,1,8,Offer B,One Year,52,Q3
5443-SCMKX,1,1,No offer,One Year,58,Q3
4566-NECEV,0,0,No offer,Month-to-Month,5,Q3
2612-RRIDN,0,0,Offer E,Month-to-Month,4,Q3
4710-NKCAW,1,7,No offer,Month-to-Month,5,Q3
4749-OJKQU,0,0,No offer,Month-to-Month,4,Q3
7695-PKLCZ,0,0,No offer,Two Year,68,Q3
4295-YURET,1,8,Offer B,Two Year,56,Q3
5740-YHGTW,1,8,No offer,Month-to-Month,70,Q3
4707-MAXGU,1,1,No offer,Two Year,72,Q3
2842-JTCCU,0,0,Offer E,Month-to-Month,2,Q3
3094-JOJAI,0,0,No offer,Month-to-Month,18,Q3
8780-IHCRN,1,5,No offer,Two Year,63,Q3
5614-DNZCE,0,0,No offer,Two Year,58,Q3
6733-LRIZX,0,0,No offer,Two Year,35,Q3
2302-OUZXB,1,5,Offer A,Two Year,72,Q3
5954-BDFSG,0,0,No offer,Two Year,72,Q3
2667-WYLWJ,1,1,Offer E,One Year,8,Q3
1925-TIBLE,1,1,No offer,Month-to-Month,7,Q3
9821-POOTN,1,1,Offer C,Month-to-Month,35,Q3
6135-OZQVA,0,0,Offer E,Month-to-Month,7,Q3
9947-OTFQU,0,0,Offer D,Month-to-Month,15,Q3
0883-EIBTI,0,0,No offer,Month-to-Month,2,Q3
2995-UPRYS,1,1,No offer,One Year,40,Q3
2360-RDGRO,1,4,No offer,Month-to-Month,65,Q3
3640-JQGJG,0,0,No offer,Month-to-Month,13,Q3
6032-KRXXO,0,0,No offer,Month-to-Month,30,Q3
4915-BFSXL,1,9,Offer A,Two Year,70,Q3
4154-AQUGT,1,1,Offer D,Month-to-Month,13,Q3
6266-QHOJZ,0,0,No offer,One Year,65,Q3
2120-SMPEX,0,0,Offer C,Month-to-Month,25,Q3
3062-ICYZQ,1,9,No offer,Month-to-Month,51,Q3
5186-SAMNZ,0,0,No offer,Month-to-Month,1,Q3
1053-MXTTK,1,1,No offer,Two Year,72,Q3
4531-AUZNK,1,2,Offer B,One Year,51,Q3
5716-EZXZN,1,5,No offer,Two Year,65,Q3
0485-ZBSLN,1,4,No offer,Two Year,65,Q3
7766-CLTIC,0,0,No offer,Month-to-Month,10,Q3
1816-FLZDK,0,0,No offer,Month-to-Month,1,Q3
2811-POVEX,1,4,No offer,Two Year,23,Q3
5707-ZMDJP,1,3,No offer,Two Year,53,Q3
2498-XLDZR,1,1,No offer,Two Year,32,Q3
6688-UZPWD,1,1,No offer,Month-to-Month,11,Q3
8780-RSYYU,0,0,Offer C,Month-to-Month,25,Q3
5356-KZCKT,0,0,Offer B,Two Year,58,Q3
3669-OYSJI,0,0,Offer E,Month-to-Month,1,Q3
3393-FMZPV,0,0,No offer,Month-to-Month,25,Q3
0013-EXCHZ,1,3,No offer,Month-to-Month,3,Q3
8665-UTDHZ,1,1,No offer,Month-to-Month,1,Q3
9926-PJHDQ,1,5,Offer A,Two Year,72,Q3
9142-KZXOP,0,0,Offer B,Month-to-Month,44,Q3
3594-KADLU,1,3,Offer E,Month-to-Month,3,Q3
7315-WYOAW,0,0,Offer D,Month-to-Month,13,Q3
6804-GDMOI,0,0,No offer,Two Year,61,Q3
7941-RCJOW,0,0,Offer B,Two Year,65,Q3
5014-GSOUQ,0,0,Offer D,Two Year,13,Q3
4765-OXPPD,1,1,Offer E,Month-to-Month,9,Q3
3071-VBYPO,1,1,Offer E,Month-to-Month,3,Q3
7016-BPGEU,0,0,No offer,Month-to-Month,29,Q3
5906-DVAPM,1,7,No offer,One Year,55,Q3
1545-ACTAS,1,2,Offer B,One Year,48,Q3
5071-FBJFS,1,8,No offer,Month-to-Month,4,Q3
4751-ERMAN,1,7,No offer,Two Year,72,Q3
5044-XDPYX,1,7,No offer,Two Year,51,Q3
6773-LQTVT,1,8,No offer,Two Year,29,Q3
7558-IMLMT,1,6,No offer,Two Year,67,Q3
6559-RAKOZ,1,7,Offer B,One Year,49,Q3
0584-BJQGZ,0,0,No offer,Month-to-Month,25,Q3
7926-IJOOU,0,0,Offer E,Month-to-Month,1,Q3
7134-HBPBS,0,0,Offer A,Two Year,72,Q3
2265-CYWIV,1,1,No offer,Month-to-Month,4,Q3
7017-VFHAY,1,3,Offer B,Two Year,61,Q3
9424-CMPOG,1,9,Offer E,Two Year,9,Q3
9101-BWFSS,1,1,Offer B,One Year,50,Q3
9957-YODKZ,1,4,No offer,Two Year,6,Q3
3528-HFRIQ,1,10,No offer,Month-to-Month,71,Q3
3669-LVWZB,0,0,No offer,Month-to-Month,5,Q3
8519-IMDHU,1,1,No offer,Month-to-Month,15,Q3
5570-PTWEH,1,1,No offer,Month-to-Month,3,Q3
0323-XWWTN,0,0,No offer,Two Year,3,Q3
4911-BANWH,0,0,No offer,Month-to-Month,31,Q3
9885-CSMWE,0,0,Offer E,Month-to-Month,1,Q3
8944-AILEF,1,1,Offer D,Month-to-Month,15,Q3
3272-VUHPV,1,10,No offer,Month-to-Month,8,Q3
3597-YASZG,1,3,Offer A,Two Year,70,Q3
4343-EJVQB,0,0,No offer,Month-to-Month,7,Q3
8461-EFQYM,0,0,No offer,One Year,38,Q3
9888-ZCUMM,1,3,No offer,Two Year,64,Q3
8780-IXSTS,0,0,No offer,Month-to-Month,6,Q3
5047-LHVLY,0,0,Offer E,Month-to-Month,1,Q3
5365-LLFYV,0,0,Offer E,Month-to-Month,2,Q3
7234-KMNRQ,0,0,No offer,Month-to-Month,4,Q3
7783-YKGDV,0,0,Offer D,Month-to-Month,12,Q3
6806-YDEUL,0,0,Offer E,Two Year,6,Q3
8496-EJAUI,0,0,Offer D,Month-to-Month,19,Q3
0442-ZXKVS,1,2,Offer B,One Year,54,Q3
8387-MOJJT,1,1,No offer,Month-to-Month,42,Q3
8722-NGNBH,0,0,No offer,Month-to-Month,5,Q3
4452-ROHMO,0,0,Offer D,Two Year,15,Q3
1442-BQPVU,0,0,No offer,Month-to-Month,13,Q3
6156-UZDLF,0,0,Offer C,One Year,26,Q3
3935-TBRZZ,1,10,Offer B,One Year,44,Q3
2325-WINES,0,0,No offer,One Year,32,Q3
1084-UQCHV,0,0,Offer E,Month-to-Month,1,Q3
7727-SHVZV,0,0,No offer,Month-to-Month,9,Q3
2180-DXNEG,0,0,No offer,Month-to-Month,12,Q3
3106-ULWFW,0,0,Offer E,Month-to-Month,8,Q3
0345-XMMUG,1,6,No offer,Two Year,46,Q3
6621-NRZAK,1,7,Offer B,Two Year,63,Q3
5840-NVDCG,1,10,No offer,Two Year,16,Q3
7356-AYNJP,0,0,Offer E,One Year,4,Q3
2272-JKMSI,1,5,Offer B,One Year,62,Q3
3791-LGQCY,1,1,No offer,Month-to-Month,56,Q3
0786-VSSUD,0,0,No offer,Month-to-Month,16,Q3
9374-YOLBJ,1,9,Offer E,Month-to-Month,1,Q3
5451-YHYPW,1,2,Offer A,Two Year,72,Q3
6075-SLNIL,0,0,Offer C,Month-to-Month,38,Q3
6121-TNHBO,0,0,Offer B,One Year,63,Q3
2368-GAKKQ,0,0,Offer A,Two Year,70,Q3
4385-ZKVNW,1,4,No offer,Month-to-Month,44,Q3
5025-GOOKI,0,0,Offer D,Month-to-Month,20,Q3
3027-YNWZU,1,5,Offer B,Two Year,64,Q3
1552-TKMXS,0,0,Offer B,Month-to-Month,42,Q3
2159-TURXX,0,0,No offer,Month-to-Month,5,Q3
4072-IPYLT,1,3,No offer,Month-to-Month,36,Q3
4909-JOUPP,1,5,No offer,Two Year,72,Q3
3692-JHONH,1,9,No offer,One Year,52,Q3
4815-YOSUK,1,9,No offer,One Year,72,Q3
4701-LKOZD,0,0,No offer,Two Year,70,Q3
0220-EBGCE,0,0,Offer E,Month-to-Month,2,Q3
8984-EYLLL,1,5,No offer,Two Year,64,Q3
6497-TILVL,1,1,No offer,Month-to-Month,7,Q3
2049-BAFNW,0,0,Offer E,Month-to-Month,1,Q3
5419-CONWX,0,0,No offer,Month-to-Month,4,Q3
9552-TGUZV,1,8,Offer E,Month-to-Month,8,Q3
1761-AEZZR,0,0,No offer,Month-to-Month,1,Q3
5542-TBBWB,0,0,No offer,Month-to-Month,1,Q3
5018-LXQQG,1,1,Offer C,Month-to-Month,30,Q3
5590-ZSKRV,1,1,Offer E,Month-to-Month,8,Q3
6899-PPEEA,0,0,No offer,Month-to-Month,37,Q3
9152-AMKAK,0,0,Offer E,Two Year,6,Q3
3707-GNWHM,0,0,No offer,Month-to-Month,1,Q3
3247-MHJKM,0,0,No offer,Month-to-Month,1,Q3
2371-KFUOG,0,0,Offer B,One Year,58,Q3
5989-AXPUC,1,1,Offer A,Two Year,68,Q3
6719-FGEDO,1,1,Offer A,Two Year,72,Q3
3070-FNFZQ,1,1,Offer D,Two Year,23,Q3
4070-OKWVH,0,0,Offer B,Month-to-Month,52,Q3
3334-CTHOL,0,0,No offer,Month-to-Month,1,Q3
1564-HJUVY,0,0,No offer,Month-to-Month,4,Q3
3523-QRQLL,1,1,No offer,One Year,22,Q3
8646-JCOMS,1,6,Offer A,One Year,66,Q3
2790-XUYMV,0,0,No offer,One Year,71,Q3
1354-YZFNB,0,0,Offer E,Two Year,4,Q3
8063-GBATB,0,0,No offer,Month-to-Month,27,Q3
6339-RZCBJ,0,0,No offer,Two Year,48,Q3
4981-FLTMF,1,3,No offer,Month-to-Month,57,Q3
6281-FKEWS,0,0,No offer,One Year,44,Q3
1043-UXOVO,0,0,Offer A,Two Year,71,Q3
6621-YOBKI,0,0,No offer,Month-to-Month,5,Q3
6328-ZPBGN,0,0,No offer,Month-to-Month,11,Q3
9715-SBVSU,1,3,No offer,Two Year,14,Q3
3170-GWYKC,0,0,No offer,Month-to-Month,60,Q3
7244-KXYZN,0,0,No offer,One Year,24,Q3
7529-ZDFXI,1,1,No offer,One Year,57,Q3
2748-MYRVK,0,0,Offer B,One Year,63,Q3
1963-SVUCV,0,0,No offer,Month-to-Month,1,Q3
5673-TIYIB,0,0,Offer E,Month-to-Month,2,Q3
1839-UMACK,0,0,No offer,One Year,42,Q3
4800-VHZKI,0,0,Offer E,Month-to-Month,1,Q3
5842-POCOP,1,1,No offer,Month-to-Month,5,Q3
0626-QXNGV,1,7,No offer,Two Year,72,Q3
5726-CVNYA,1,8,Offer E,Two Year,8,Q3
6119-SPUDB,0,0,Offer B,Two Year,46,Q3
5549-ZGHFB,1,3,No offer,Two Year,50,Q3
4121-AGSIN,1,9,No offer,One Year,58,Q3
4686-GEFRM,1,5,Offer A,Two Year,70,Q3
0236-HFWSV,0,0,No offer,Month-to-Month,15,Q3
5199-FPUSP,0,0,No offer,One Year,33,Q3
2263-SFSQZ,1,7,No offer,Two Year,51,Q3
2378-VTKDH,1,9,Offer B,Month-to-Month,65,Q3
6890-PFRQX,0,0,No offer,Month-to-Month,18,Q3
4999-IEZLT,0,0,No offer,One Year,66,Q3
9522-ZSINC,0,0,Offer D,One Year,13,Q3
9529-OFXHY,0,0,No offer,Month-to-Month,15,Q3
2027-CWDNU,1,1,No offer,Month-to-Month,18,Q3
8106-GWQOK,1,5,No offer,Two Year,38,Q3
1049-FYSYG,1,5,Offer D,Month-to-Month,17,Q3
8515-OCTJS,0,0,Offer C,Two Year,25,Q3
9348-ROUAI,1,5,Offer B,Two Year,59,Q3
6941-PMGEP,0,0,Offer E,Month-to-Month,5,Q3
8490-BXHEO,0,0,No offer,Month-to-Month,18,Q3
5846-NEQVZ,1,3,No offer,Two Year,71,Q3
7771-CFQRQ,0,0,No offer,Two Year,47,Q3
4585-HETAI,1,5,No offer,Month-to-Month,4,Q3
3887-PBQAO,1,4,Offer B,One Year,45,Q3
1891-FZYSA,1,1,No offer,Month-to-Month,69,Q3
6908-VVYHM,1,1,Offer B,Month-to-Month,65,Q3
0479-HMSWA,0,0,Offer C,Two Year,26,Q3
8642-GVWRF,1,1,No offer,Month-to-Month,2,Q3
7872-BAAZR,1,10,Offer B,One Year,53,Q3
2883-ILGWO,0,0,No offer,Two Year,57,Q3
8969-PRHFK,0,0,Offer D,One Year,18,Q3
2522-WLNSF,1,2,No offer,One Year,34,Q3
4236-XPXAV,1,1,No offer,Month-to-Month,5,Q3
1602-IJQQE,0,0,Offer E,Month-to-Month,4,Q3
0222-CNVPT,0,0,Offer B,Two Year,52,Q3
7188-CBBBA,0,0,No offer,One Year,65,Q3
5348-CAGXB,0,0,Offer D,Month-to-Month,12,Q3
9711-FJTBX,1,4,No offer,One Year,56,Q3
2002-MZHWP,0,0,Offer E,Month-to-Month,1,Q3
2519-LBNQL,1,2,No offer,One Year,60,Q3
8637-XJIVR,0,0,No offer,Month-to-Month,12,Q3
5150-ITWWB,0,0,Offer E,Two Year,3,Q3
3934-HXCFZ,1,1,Offer D,Month-to-Month,23,Q3
5135-GRQJV,1,4,Offer A,Two Year,72,Q3
5787-KXGIY,1,3,No offer,Two Year,72,Q3
7526-IVLYU,0,0,No offer,Month-to-Month,3,Q3
9026-LHEVG,0,0,Offer E,Month-to-Month,9,Q3
5167-ZFFMM,0,0,Offer E,Month-to-Month,1,Q3
7776-QGYJC,1,7,Offer C,Month-to-Month,39,Q3
2599-CZABP,1,1,Offer D,One Year,14,Q3
6546-OPBBH,1,1,No offer,One Year,51,Q3
7531-GQHME,0,0,Offer D,Month-to-Month,12,Q3
1769-GRUIK,0,0,Offer D,Month-to-Month,18,Q3
2361-FJWNO,0,0,No offer,One Year,40,Q3
9576-SYUHJ,0,0,Offer C,Month-to-Month,37,Q3
4476-OSWTN,1,2,No offer,One Year,69,Q3
9013-AQORL,0,0,Offer B,Month-to-Month,48,Q3
5712-AHQNN,0,0,No offer,Month-to-Month,43,Q3
1820-TQVEV,0,0,Offer E,Month-to-Month,1,Q3
0363-SVHYR,1,10,Offer A,Two Year,71,Q3
5651-CPDND,0,0,Offer D,Month-to-Month,10,Q3
9053-EJUNL,0,0,Offer B,Month-to-Month,41,Q3
3404-JNXAX,1,9,Offer B,Month-to-Month,51,Q3
4795-WRNVT,0,0,No offer,Month-to-Month,40,Q3
9831-BPFRI,1,1,No offer,One Year,39,Q3
9769-TSBZE,0,0,No offer,Two Year,70,Q3
9620-QJREV,0,0,Offer B,One Year,47,Q3
8087-LGYHQ,0,0,Offer E,Month-to-Month,9,Q3
2904-GGUAZ,1,8,Offer A,Two Year,72,Q3
4468-KAZHE,1,1,No offer,One Year,20,Q3
0704-VCUMB,1,1,No offer,Two Year,61,Q3
5651-WYIPH,0,0,No offer,One Year,18,Q3
9279-CJEOJ,0,0,No offer,Month-to-Month,21,Q3
6029-WTIPC,0,0,Offer C,Month-to-Month,37,Q3
9308-ANMVE,0,0,Offer B,Month-to-Month,47,Q3
3806-YAZOV,0,0,Offer E,Month-to-Month,3,Q3
4023-RTIQM,1,10,Offer C,One Year,31,Q3
1285-OKIPP,0,0,No offer,Month-to-Month,1,Q3
8559-CIZFV,1,1,Offer D,One Year,21,Q3
0383-CLDDA,0,0,Offer A,Two Year,69,Q3
6518-KZXCB,0,0,Offer D,Two Year,22,Q3
6614-FHDBO,0,0,No offer,Two Year,72,Q3
4248-HCETZ,1,1,Offer C,Month-to-Month,30,Q3
0396-YCHWO,1,4,Offer C,Month-to-Month,36,Q3
5656-MJEFC,1,10,Offer B,Two Year,42,Q3
6598-KELSS,0,0,Offer B,One Year,50,Q3
2061-VVFST,1,1,No offer,Month-to-Month,37,Q3
4132-KALRO,0,0,Offer E,Month-to-Month,4,Q3
2273-QCKXA,0,0,No offer,Month-to-Month,1,Q3
6557-BZXLQ,0,0,Offer D,Two Year,16,Q3
9764-REAFF,1,9,Offer B,Two Year,59,Q3
3038-PQIUY,0,0,No offer,Month-to-Month,38,Q3
8963-JLGJT,0,0,Offer E,Month-to-Month,3,Q3
8345-MVDYC,0,0,Offer B,Two Year,45,Q3
7495-OOKFY,1,1,Offer E,Month-to-Month,8,Q3
9135-MGVPY,1,10,No offer,Two Year,69,Q3
7096-ZNBZI,1,1,Offer A,Two Year,72,Q3
8838-GPHZP,0,0,No offer,Two Year,63,Q3
3707-LRWZD,0,0,No offer,One Year,32,Q3
2511-MORQY,1,4,Offer B,One Year,50,Q3
5293-WXJAK,1,5,No offer,Month-to-Month,11,Q3
7883-ROJOC,0,0,Offer D,Month-to-Month,19,Q3
0835-JKADZ,0,0,No offer,Two Year,71,Q3
4537-DKTAL,0,0,Offer E,Month-to-Month,2,Q3
3354-OADJP,0,0,No offer,One Year,8,Q3
6418-HNFED,1,1,Offer B,Two Year,51,Q3
4702-HDRKD,0,0,Offer A,One Year,67,Q3
8908-SLFCJ,0,0,Offer D,Two Year,21,Q3
1349-WXNGG,0,0,No offer,Month-to-Month,1,Q3
2662-NNTDK,0,0,Offer B,One Year,65,Q3
3282-ZISZV,0,0,No offer,One Year,32,Q3
1241-EZFMJ,1,2,Offer B,Two Year,61,Q3
8510-BBWMU,0,0,No offer,One Year,41,Q3
9742-XOKTS,1,10,Offer A,One Year,67,Q3
6608-QQLVK,0,0,No offer,Month-to-Month,1,Q3
7074-STDCN,0,0,Offer C,Month-to-Month,39,Q3
9342-VNIMQ,0,0,Offer C,Month-to-Month,33,Q3
2908-WGAXL,1,9,No offer,Two Year,56,Q3
4690-PKDQG,1,3,No offer,Month-to-Month,42,Q3
2791-SFVEW,0,0,Offer E,Month-to-Month,9,Q3
6614-YOLAC,1,3,Offer A,Two Year,71,Q3
4329-YPDDQ,0,0,No offer,Month-to-Month,20,Q3
7876-AEHIG,0,0,No offer,One Year,51,Q3
4671-VJLCL,0,0,Offer B,Two Year,63,Q3
9136-ALYBR,0,0,No offer,Month-to-Month,1,Q3
4077-HWUYD,1,1,No offer,Two Year,72,Q3
9371-BITHB,1,1,Offer B,Two Year,52,Q3
6867-ACCZI,1,1,Offer C,Two Year,24,Q3
6365-MTGZX,0,0,No offer,Month-to-Month,24,Q3
4785-FCIFB,1,10,Offer B,Two Year,61,Q3
7969-FFOWG,1,2,Offer B,Two Year,65,Q3
9701-CDXHR,1,1,Offer B,Month-to-Month,51,Q3
9122-UMROB,0,0,No offer,Month-to-Month,1,Q3
2233-FAGXV,1,6,No offer,Month-to-Month,5,Q3
2165-VOEGB,0,0,No offer,One Year,46,Q3
1656-DRSMG,0,0,Offer B,Month-to-Month,63,Q3
1230-QAJDW,0,0,No offer,Month-to-Month,3,Q3
8042-JVNFH,0,0,No offer,Month-to-Month,1,Q3
9391-TTOYH,0,0,Offer D,Month-to-Month,23,Q3
2453-SAFNS,0,0,Offer B,One Year,54,Q3
5519-NPHVG,0,0,No offer,Month-to-Month,12,Q3
2907-ILJBN,1,7,No offer,One Year,11,Q3
4735-BJKOU,0,0,No offer,Two Year,40,Q3
0743-HRVFF,1,4,No offer,One Year,51,Q3
4657-FWVFY,1,4,No offer,Month-to-Month,40,Q3
1919-RTPQD,1,7,Offer E,Month-to-Month,7,Q3
3943-KDREE,0,0,No offer,Month-to-Month,26,Q3
2978-XXSOG,0,0,Offer D,Month-to-Month,22,Q3
4480-MBMLB,0,0,Offer C,One Year,36,Q3
4763-PGDPO,0,0,No offer,Month-to-Month,4,Q3
4138-NAXED,0,0,No offer,Month-to-Month,51,Q3
1355-KUSBG,1,1,Offer E,Month-to-Month,7,Q3
1763-KUAAW,0,0,Offer D,One Year,18,Q3
1977-STDKI,0,0,No offer,Month-to-Month,1,Q3
3683-QKIUE,0,0,Offer E,Month-to-Month,6,Q3
4039-PIMHX,1,4,No offer,Two Year,49,Q3
6994-KERXL,0,0,No offer,Month-to-Month,4,Q3
7384-GHBPI,1,1,Offer E,Month-to-Month,3,Q3
